2024-03-17 16:09:26.186 INFO  (qtp1331270134-26-null-21) [c: s: r: x:restaurants t:null-21] o.a.s.u.DefaultSolrCoreState New IndexWriter is ready to be used.
2024-03-17 16:09:26.189 INFO  (qtp1331270134-26-null-21) [c: s: r: x: t:null-21] o.a.s.c.S.Request webapp=/solr path=/schema params={wt=json&_=1710691739133} status=0 QTime=550
2024-03-17 16:09:26.190 INFO  (qtp1331270134-26-null-21) [c: s: r: x: t:null-21] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@4f9b997d restaurants
2024-03-17 16:09:26.190 INFO  (qtp1331270134-26-null-21) [c: s: r: x: t:null-21] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.restaurants tag=SolrCore@4f9b997d
2024-03-17 16:09:26.196 INFO  (searcherExecutor-19-thread-1-processing-restaurants null-21) [c: s: r: x:restaurants t:null-21] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-03-17 16:09:26.201 INFO  (searcherExecutor-19-thread-1-processing-restaurants null-21) [c: s: r: x:restaurants t:null-21] o.a.s.c.SolrCore Registered new searcher autowarm time: 8 ms
2024-03-17 16:09:27.760 INFO  (qtp1331270134-46-null-23) [c: s: r: x:restaurants t:null-23] o.a.s.c.S.Request webapp=/solr path=/config params={wt=json&_=1710691739133} status=0 QTime=3
2024-03-17 16:09:27.774 INFO  (qtp1331270134-20-null-22) [c: s: r: x:restaurants t:null-22] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={show=schema&wt=json&_=1710691737300} status=0 QTime=21
2024-03-17 16:09:27.805 INFO  (qtp1331270134-26-null-24) [c: s: r: x:restaurants t:null-24] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&wt=json&_=1710691737300} status=0 QTime=1
2024-03-17 16:09:32.811 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.s.ManagedIndexSchema Upgraded to managed schema at /var/solr/data/restaurants/conf/managed-schema.xml
2024-03-17 16:09:32.825 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.9.0
2024-03-17 16:09:32.832 INFO  (qtp1331270134-27-null-25) [c: s: r: x:restaurants t:null-25] o.a.s.s.IndexSchema Schema name=default-config
